Classification Name,Classification Code,Country Name,Country Code,Time,Time Code,Population [Pop],Percent of the population who cannot afford a healthy diet [CoHD_headcount],Millions of people who cannot afford a healthy diet [CoHD_unafford_n],Cost of a healthy diet [CoHD],Affordability of a healthy diet: ratio of cost to food expenditures [CoHD_fexp]
Food Prices for Nutrition 1.1,FPN 1.1,Cambodia,KHM,2019,YR2019,16207746,..,..,3.778,..
Food Prices for Nutrition 1.1,FPN 1.1,Cambodia,KHM,2020,YR2020,16396860,..,..,3.888,..
Food Prices for Nutrition 1.1,FPN 1.1,Cameroon,CMR,2017,YR2017,24393181,58.8,14.3,2.616,1.128
Food Prices for Nutrition 1.1,FPN 1.1,Cameroon,CMR,2018,YR2018,25076747,58.3,14.6,2.684,..
Food Prices for Nutrition 1.1,FPN 1.1,Cameroon,CMR,2019,YR2019,25782341,58.1,14.6,2.744,..
Food Prices for Nutrition 1.1,FPN 1.1,Cameroon,CMR,2020,YR2020,26491087,58.5,14.7,2.808,..
Food Prices for Nutrition 1.1,FPN 1.1,Canada,CAN,2017,YR2017,36545236,0.7,0.3,2.863,0.451
Food Prices for Nutrition 1.1,FPN 1.1,Canada,CAN,2018,YR2018,37065084,0.7,0.3,2.911,..
Food Prices for Nutrition 1.1,FPN 1.1,Canada,CAN,2019,YR2019,37601230,0.7,0.3,2.918,..
Food Prices for Nutrition 1.1,FPN 1.1,Canada,CAN,2020,YR2020,38037204,0.7,0.3,3.008,..
Food Prices for Nutrition 1.1,FPN 1.1,Cayman Islands,CYM,2017,YR2017,63581,..,..,2.928,0.469
Food Prices for Nutrition 1.1,FPN 1.1,Cayman Islands,CYM,2018,YR2018,64884,..,..,2.874,..
Food Prices for Nutrition 1.1,FPN 1.1,Cayman Islands,CYM,2019,YR2019,66134,..,..,2.714,..
Food Prices for Nutrition 1.1,FPN 1.1,Cayman Islands,CYM,2020,YR2020,67311,..,..,2.765,..
Food Prices for Nutrition 1.1,FPN 1.1,Central African Republic,CAF,2017,YR2017,4996741,94.3,4.7,3.423,2.761
