"Centrale/decentrale productie";"Energiedragers";"Perioden";"MWh";"TJ";"%"
"Totaal centrale/decentrale productie";"Windenergie";"2021 **";"18004853";"64817";"14,7"
"Totaal centrale/decentrale productie";"Waterkracht";"1998";"112310";"404";"0,1"
"Totaal centrale/decentrale productie";"Waterkracht";"1999";"90249";"325";"0,1"
"Totaal centrale/decentrale productie";"Waterkracht";"2000";"142393";"513";"0,2"
"Totaal centrale/decentrale productie";"Waterkracht";"2001";"117324";"422";"0,1"
"Totaal centrale/decentrale productie";"Waterkracht";"2002";"109636";"395";"0,1"
"Totaal centrale/decentrale productie";"Waterkracht";"2003";"72023";"259";"0,1"
"Totaal centrale/decentrale productie";"Waterkracht";"2004";"95732";"345";"0,1"
"Totaal centrale/decentrale productie";"Waterkracht";"2005";"88000";"317";"0,1"
"Totaal centrale/decentrale productie";"Waterkracht";"2006";"105199";"379";"0,1"
"Totaal centrale/decentrale productie";"Waterkracht";"2007";"107000";"385";"0,1"
"Totaal centrale/decentrale productie";"Waterkracht";"2008";"100000";"360";"0,1"
"Totaal centrale/decentrale productie";"Waterkracht";"2009";"97222";"350";"0,1"
"Totaal centrale/decentrale productie";"Waterkracht";"2010";"104167";"375";"0,1"
"Totaal centrale/decentrale productie";"Waterkracht";"2011";"57000";"205";"0,1"
"Totaal centrale/decentrale productie";"Waterkracht";"2012";"104388";"376";"0,1"
"Totaal centrale/decentrale productie";"Waterkracht";"2013";"114312";"412";"0,1"
"Totaal centrale/decentrale productie";"Waterkracht";"2014";"111925";"403";"0,1"
"Totaal centrale/decentrale productie";"Waterkracht";"2015";"92700";"334";"0,1"
"Totaal centrale/decentrale productie";"Waterkracht";"2016";"100079";"360";"0,1"
"Totaal centrale/decentrale productie";"Waterkracht";"2017";"60757";"219";"0,1"
"Totaal centrale/decentrale productie";"Waterkracht";"2018";"72348";"260";"0,1"
"Totaal centrale/decentrale productie";"Waterkracht";"2019";"74182";"267";"0,1"
"Totaal centrale/decentrale productie";"Waterkracht";"2020";"46066";"166";"0,0"
"Totaal centrale/decentrale productie";"Waterkracht";"2021 **";"88143";"317";"0,1"
"Totaal centrale/decentrale productie";"Biomassa";"1998";"1590281";"5725";"1,7"
"Totaal centrale/decentrale productie";"Biomassa";"1999";"1788338";"6438";"2,0"
"Totaal centrale/decentrale productie";"Biomassa";"2000";"2013194";"7247";"2,2"
"Totaal centrale/decentrale productie";"Biomassa";"2001";"2358034";"8489";"2,5"
"Totaal centrale/decentrale productie";"Biomassa";"2002";"2906752";"10464";"3,1"
"Totaal centrale/decentrale productie";"Biomassa";"2003";"2547534";"9171";"2,6"
"Totaal centrale/decentrale productie";"Biomassa";"2004";"3324906";"11970";"3,3"
"Totaal centrale/decentrale productie";"Biomassa";"2005";"5276719";"18996";"5,2"
"Totaal centrale/decentrale productie";"Biomassa";"2006";"5194000";"18698";"5,3"
"Totaal centrale/decentrale productie";"Biomassa";"2007";"4026282";"14495";"3,8"
"Totaal centrale/decentrale productie";"Biomassa";"2008";"5082893";"18298";"4,7"
"Totaal centrale/decentrale productie";"Biomassa";"2009";"6111000";"22000";"5,4"
"Totaal centrale/decentrale productie";"Biomassa";"2010";"7058056";"25409";"6,0"
"Totaal centrale/decentrale productie";"Biomassa";"2011";"7083559";"25501";"6,3"
"Totaal centrale/decentrale productie";"Biomassa";"2012";"7203605";"25933";"7,0"
"Totaal centrale/decentrale productie";"Biomassa";"2013";"5954000";"21434";"5,9"
"Totaal centrale/decentrale productie";"Biomassa";"2014";"5013182";"18047";"4,8"
"Totaal centrale/decentrale productie";"Biomassa";"2015";"4938740";"17779";"4,5"
"Totaal centrale/decentrale productie";"Biomassa";"2016";"4906025";"17662";"4,3"
"Totaal centrale/decentrale productie";"Biomassa";"2017";"4600986";"16564";"3,9"
"Totaal centrale/decentrale productie";"Biomassa";"2018";"4575986";"16474";"4,0"
"Totaal centrale/decentrale productie";"Biomassa";"2019";"5814345";"20932";"4,8"
"Totaal centrale/decentrale productie";"Biomassa";"2020";"8847526";"31851";"7,2"
"Totaal centrale/decentrale productie";"Biomassa";"2021 **";"10883038";"39179";"8,9"
"Totaal centrale/decentrale productie";"Kernenergie";"1998";"3809091";"13712";"4,1"
"Totaal centrale/decentrale productie";"Kernenergie";"1999";"3828213";"13781";"4,4"
"Totaal centrale/decentrale productie";"Kernenergie";"2000";"3919208";"14110";"4,3"
"Totaal centrale/decentrale productie";"Kernenergie";"2001";"3972571";"14301";"4,2"
"Totaal centrale/decentrale productie";"Kernenergie";"2002";"3913540";"14089";"4,1"
"Totaal centrale/decentrale productie";"Kernenergie";"2003";"4017989";"14465";"4,1"
"Totaal centrale/decentrale productie";"Kernenergie";"2004";"3822018";"13759";"3,7"
"Totaal centrale/decentrale productie";"Kernenergie";"2005";"3997456";"14391";"4,0"
"Totaal centrale/decentrale productie";"Kernenergie";"2006";"3469439";"12490";"3,5"
"Totaal centrale/decentrale productie";"Kernenergie";"2007";"4200313";"15121";"4,0"
"Totaal centrale/decentrale productie";"Kernenergie";"2008";"4168889";"15008";"3,9"
"Totaal centrale/decentrale productie";"Kernenergie";"2009";"4248333";"15294";"3,7"
"Totaal centrale/decentrale productie";"Kernenergie";"2010";"3969167";"14289";"3,4"
"Totaal centrale/decentrale productie";"Kernenergie";"2011";"4140775";"14907";"3,7"
"Totaal centrale/decentrale productie";"Kernenergie";"2012";"3914710";"14093";"3,8"
"Totaal centrale/decentrale productie";"Kernenergie";"2013";"2890859";"10407";"2,9"
"Totaal centrale/decentrale productie";"Kernenergie";"2014";"4091306";"14729";"4,0"
"Totaal centrale/decentrale productie";"Kernenergie";"2015";"4078041";"14681";"3,7"
"Totaal centrale/decentrale productie";"Kernenergie";"2016";"3960278";"14257";"3,4"
"Totaal centrale/decentrale productie";"Kernenergie";"2017";"3402478";"12249";"2,9"
"Totaal centrale/decentrale productie";"Kernenergie";"2018";"3514770";"12653";"3,1"
"Totaal centrale/decentrale productie";"Kernenergie";"2019";"3909748";"14075";"3,2"
"Totaal centrale/decentrale productie";"Kernenergie";"2020";"4087363";"14715";"3,3"
"Totaal centrale/decentrale productie";"Kernenergie";"2021 **";"3827956";"13781";"3,1"
"Totaal centrale/decentrale productie";"Overige energiedragers";"1998";"2627322";"9459";"2,9"
"Totaal centrale/decentrale productie";"Overige energiedragers";"1999";"2571139";"9257";"2,9"
"Totaal centrale/decentrale productie";"Overige energiedragers";"2000";"2488862";"8959";"2,8"
"Totaal centrale/decentrale productie";"Overige energiedragers";"2001";"2419770";"8712";"2,6"
"Totaal centrale/decentrale productie";"Overige energiedragers";"2002";"2383033";"8579";"2,5"
"Totaal centrale/decentrale productie";"Overige energiedragers";"2003";"2868908";"10327";"2,9"
"Totaal centrale/decentrale productie";"Overige energiedragers";"2004";"2959420";"10655";"2,9"
"Totaal centrale/decentrale productie";"Overige energiedragers";"2005";"2808798";"10112";"2,8"
"Totaal centrale/decentrale productie";"Overige energiedragers";"2006";"2784016";"10022";"2,8"
"Totaal centrale/decentrale productie";"Overige energiedragers";"2007";"2620529";"9434";"2,5"
"Totaal centrale/decentrale productie";"Overige energiedragers";"2008";"2604768";"9377";"2,4"
"Totaal centrale/decentrale productie";"Overige energiedragers";"2009";"2798166";"10073";"2,5"
"Totaal centrale/decentrale productie";"Overige energiedragers";"2010";"3139444";"11302";"2,7"
"Totaal centrale/decentrale productie";"Overige energiedragers";"2011";"3246429";"11686";"2,9"
"Totaal centrale/decentrale productie";"Overige energiedragers";"2012";"3481510";"12533";"3,4"
"Totaal centrale/decentrale productie";"Overige energiedragers";"2013";"3074110";"11067";"3,0"
"Totaal centrale/decentrale productie";"Overige energiedragers";"2014";"3327250";"11978";"3,2"
"Totaal centrale/decentrale productie";"Overige energiedragers";"2015";"3119571";"11230";"2,8"
"Totaal centrale/decentrale productie";"Overige energiedragers";"2016";"3172986";"11423";"2,8"
"Totaal centrale/decentrale productie";"Overige energiedragers";"2017";"3369972";"12132";"2,9"
"Totaal centrale/decentrale productie";"Overige energiedragers";"2018";"2748979";"9896";"2,4"
"Totaal centrale/decentrale productie";"Overige energiedragers";"2019";"2507956";"9029";"2,1"
"Totaal centrale/decentrale productie";"Overige energiedragers";"2020";"2483991";"8942";"2,0"
"Totaal centrale/decentrale productie";"Overige energiedragers";"2021 **";"2511183";"9040";"2,1"
